Temp,hrs,Ni.Vol.Corrected,condAve
900,5,0,0.047386662
900,5,0,0.035255316
900,5,0,0.03918448
900,5,0,0.037438302
900,5,0.05,0.017779017
900,5,0.05,0.016808213
900,5,0.05,0.036085119
900,5,0.1,0.065082731
900,5,0.1,0.061731678
900,5,0.1,0.068483993
900,5,0.1,0.068263099
900,5,0.28,0.248291514
900,5,0.28,0.244098693
900,5,0.28,0.219282336
900,5,0.2,0.148701476
900,5,0.2,0.141594199
900,5,0.2,0.172063984
900,5,0.24,0.15145574
900,5,0.24,0.179686908
900,5,0.24,0.155009914
900,5,0.35,1.98043924
900,5,0.35,2.771760273
900,5,0.4,996.4466262
900,5,0.4,1135.802773
900,5,0.4,1360.406125
900,5,0.4,690.6263623
900,5,0.5,6138.418272
900,5,0.5,7525.001152
