Label,condAve
WH07A,0.03188314
WH07B,0.025148174
WH08A,0.152406509
WH08B,0.104742683
WH10A,0.059090347
WH10B,0.05319202
WH11A,0.027619274
WH11B,0.032921273
WH12A,0.04742793
WH12B,0.058049023
WH15A,7629.478441
WH15B,8899.750466
WH09A,0.097020823
WH09B,0.079892851
WH09C,0.081851696
WH09D,0.07023679
WH13A,2.423590961
WH13B,6.082858306
WH13C,4.808238297
WH13D,9.075558434
WH14B,1864.328299
WH14C,1727.535013
WH14D,1134.767341
WH18A,49.72036966
WH18C,112.1056121
WH27A,237.8208339
WH27B,190.4098797
WH27C,115.9722316
WH22B,1.468385124
WH22C,0.796488488
WH23A,0.704181183
WH23B,0.632305397
WH24A,3054.843879
WH24C,3181.020569
WH36A,1.473108935
WH36B,2.140809681
WH37A,1.094080448
WH37B,1.336131917
WH38A,38.41071879
WH38B,28.80608657
WH04B,0.215847212
WH05B,0.206299489
WH06A,1.21416533
WH06B,1.299496826
WH06C,0.699371358
WH01A,2.338951849
WH02B,3.564990715
WH02C,1.878832957
WH03A,99.87103871
WH03B,19.99381631
WH03C,8.360295405
WH31A,40.76838197
WH31C,2.497750031
WH32A,469.2225482
WH32B,548.0609275
WH32C,419.9532492
WH33B,2.931569243
WH33C,3.113758198
WH34A,0.894005924
WH34B,0.390313592
WH35A,5.521172903
WH35B,9.965027696
WH35C,4.111845276
