mkeyTemp,mkeytime,mkeyNi,mechID,mkeydiam,mkeythick,Label
900,5,28,0900-05-28w,9.78,0.76,WH12W
900,5,28,0900-05-28y,9.79,0.73,WH12Y
900,5,24,0900-05-24C,10.26,0.74,WH11C
900,5,20,0900-05-20D,10.42,1.09,WH10D
900,5,50,0900-05-50C,9.57,0.78,WH15C
900,5,50,0900-05-50D,9.58,1.21,WH15D
800,10,10,0800-10-10A,10.35,0.75,WH25A
800,10,24,0800-10-24B,10.22,0.8,WH26B
800,10,10,0800-10-10B,10.37,0.56,WH25B
900,10,10,0900-10-10B,10.21,0.68,WH22B
900,10,24,0900-10-24B,9.7,0.46,WH23B
900,5,10,0900-05-10C,9.71,0.46,WH09C
900,5,40,0900-05-40C,9.62,0.52,WH14C
900,5,0,0900-05-00A,10,0.74,WH07A
900,5,0,0900-05-00B,10.07,0.72,WH07B
900,5,50,0900-05-50B,9.53,1.07,WH15B
900,5,24,0900-05-24D,10.01,1.54,WH11D
900,5,24,0900-05-24A,9.8,0.93,WH11A
900,5,28,0900-05-28A,9.89,1.13,WH12A
900,5,28,0900-05-28B,9.91,1.03,WH12B
900,10,35,0900-10-35A,9.65,0.43,WH38A
900,10,28,0900-10-28A,9.82,0.5,WH37A
900,5,5,0900-05-05A,9.92,0.6,WH08A
900,5,5,0900-05-05B,10.01,0.78,WH08B
900,5,20,0900-05-20A,9.71,0.99,WH10A
900,5,20,0900-05-20B,9.68,1.06,WH10B
900,5,28,0900-05-28D,9.8,1,WH12D
800,10,40,0800-10-40A,10.15,0.62,WH27A
800,10,40,0800-10-40C,10.09,0.45,WH27C
900,10,40,0900-10-40A,9.58,0.25,WH24A
900,10,40,0900-10-40C,9.57,0.39,WH24C
900,5,10,0900-05-10A,9.76,0.5,WH09A
900,5,10,0900-05-10D,9.78,0.47,WH09D
900,5,35,0900-05-35B,9.61,0.5,WH13B
900,5,35,0900-05-35C,9.56,0.29,WH13C
900,5,40,0900-05-40B,9.67,0.53,WH14B
800,5,28,0800-05-28C,10.37,0.48,WH16C
800,5,35,0800-05-35B,10.38,0.43,WH17B
700,10,24,0700-10-24A,11.59,0.54,WH29A
700,10,10,0700-10-10B,11.55,0.77,WH28B
700,10,24,0700-10-24C,11.63,0.57,WH29C
800,5,35,0800-05-35A,10.36,0.3,WH17A
700,5,28,0700-05-28B,11.52,0.56,WH19B
700,10,24,0700-10-24B,11.61,0.63,WH29B
800,5,28,0800-05-28A,10.34,0.57,WH16A
700,5,28,0700-05-28C,11.53,0.66,WH19C
800,5,28,0800-05-28B,10.33,0.55,WH16B
700,10,10,0700-10-10C,11.54,0.63,WH28C
700,5,35,0700-05-35C,11.59,0.79,WH20C
1100,5,35,1100-05-35C,9.53,0.44,WH03C
1000,5,35,1000-05-35A,9.61,0.42,WH06A
1100,5,35,1100-05-35A,9.56,0.32,WH03A
700,5,35,0700-05-35A,11.59,0.7,WH20A
700,10,10,0700-10-10A,11.55,0.73,WH28A
900,150,35,0900-15-35C,9.59,0.45,WH35C
900,10,20,0900-10-20B,9.65,0.31,WH36B
900,10,28,0900-10-28B,9.88,0.45,WH37B
900,5,24,0900-05-24B,9.89,0.78,WH11B
1000,5,35,1000-05-35C,9.58,0.32,WH06C
1100,5,35,1100-05-35B,9.65,0.35,WH03B
1000,5,35,1000-05-35B,9.61,0.3,WH06B
900,150,35,0900-15-35B,9.64,0.36,WH35B
900,50,35,0900-50-35A,9.68,0.44,WH32A
900,50,35,0900-50-35B,9.69,0.48,WH32B
900,50,35,0900-50-35C,9.72,0.32,WH32C
900,150,20,0900-15-20C,9.42,0.37,WH33C
900,10,20,0900-10-20A,9.69,0.36,WH36A
900,150,35,0900-15-35A,9.64,0.44,WH35A
